Date,Workout,Result,Prescribed,Pukie,Work performed,Work time,Formatted Result,Notes,Description
2015-12-29,Every 2 mins for 12 mins: Squat Clean,1428.8159655,true,false,21557,720000,3150 lbs,"","Every 2 mins for 12 mins:
3 Squat Cleans | 135 lbs
3 Squat Cleans | 155 lbs
3 Squat Cleans | 175 lbs
3 Squat Cleans | 185 lbs
3 Squat Cleans | 195 lbs
3 Squat Cleans | 205 lbs"
2015-12-28,"FT: Sumo Deadlift High-pulls, Burpees, Sumo Deadlift High-pulls, and 3 more",256000,true,false,43481,256000,4 mins 16 secs,"","15 Sumo Deadlift High-pulls, 115 lbs
10 Burpees
12 Sumo Deadlift High-pulls, 115 lbs
10 Burpees
9 Sumo Deadlift High-pulls, 115 lbs
10 Burpees"
2015-12-26,"Chipper: Squat Snatches, Dips, Squat Snatches, and 75 more",1988000,true,false,121600,1988000,33 mins 8 secs,"","1 Squat Snatch, 125 lbs
2 Dips
1 Squat Snatch, 125 lbs
3 Burpees
2 Dips
1 Squat Snatch, 125 lbs
4 V-ups
3 Burpees
2 Dips
1 Squat Snatch, 125 lbs
5 Wall Balls, 20 lbs
4 V-ups
3 Burpees
2 Dips
1 Squat Snatch, 125 lbs
6 Pull-ups
5 Wall Balls, 20 lbs
4 V-ups
3 Burpees
2 Dips
1 Squat Snatch, 125 lbs
7 Box Jump (24 In.)s
6 Pull-ups
5 Wall Balls, 20 lbs
4 V-ups
3 Burpees
2 Dips
1 Squat Snatch, 125 lbs
8 Push-up (hand release)s
7 Box Jump (24 In.)s
6 Pull-ups
5 Wall Balls, 20 lbs
4 V-ups
3 Burpees
2 Dips
1 Squat Snatch, 125 lbs
9 Sit-ups
8 Push-up (hand release)s
7 Box Jump (24 In.)s
6 Pull-ups
5 Wall Balls, 20 lbs
4 V-ups
3 Burpees
2 Dips
1 Squat Snatch, 125 lbs
10 Lunges
9 Sit-ups
8 Push-up (hand release)s
7 Box Jump (24 In.)s
6 Pull-ups
5 Wall Balls, 20 lbs
4 V-ups
3 Burpees
2 Dips
1 Squat Snatch, 125 lbs
11 Kettlebell Swings
10 Lunges
9 Sit-ups
8 Push-up (hand release)s
7 Box Jump (24 In.)s
6 Pull-ups
5 Wall Balls, 20 lbs
4 V-ups
3 Burpees
2 Dips
1 Squat Snatch, 125 lbs
12 Front Squats, 125 lbs
11 Kettlebell Swings
10 Lunges
9 Sit-ups
8 Push-up (hand release)s
7 Box Jump (24 In.)s
6 Pull-ups
5 Wall Balls, 20 lbs
4 V-ups
3 Burpees
2 Dips
1 Squat Snatch, 125 lbs"
2015-12-26,DT,482000,false,false,36174,482000,8 mins 2 secs,"","3 rounds of:
12 Deadlifts, 135 lbs
9 Hang Power Cleans, 135 lbs
6 Push Jerks, 135 lbs"
2015-12-21,Every 2 mins for 14 mins: Thruster,1272.32659785,true,false,16294,840000,2805 lbs,"","Every 2 mins for 14 mins:
3 Thrusters | 95 lbs
3 Thrusters | 115 lbs
3 Thrusters | 125 lbs
3 Thrusters | 135 lbs
3 Thrusters | 145 lbs
3 Thrusters | 155 lbs
3 Thrusters | 165 lbs"
2015-12-21,"3 RFT: Box Jump (24 In.)s, Pull-ups, and Burpees",428000,true,false,58987,428000,7 mins 8 secs,"","3 rounds of:
21 Box Jump (24 In.)s
15 Pull-ups
9 Burpees"
2015-12-09,"FT: 400 m, Wall Balls, Kettlebell Swings, and 4 more",529000,true,false,62540,529000,8 mins 49 secs,"","Run, 400 m
30 Wall Balls, 20 lbs
10 Kettlebell Swings, 53 lbs
75 Double Unders
10 Kettlebell Swings, 53 lbs
30 Wall Balls, 20 lbs
Run, 400 m"
2015-12-06,3 RFT: 400 m and Overhead Squats,708000,true,false,55788,708000,11 mins 48 secs,"","3 rounds of:
Run, 400 m
15 Overhead Squats, 95 lbs"
2015-11-07,"AMReps 15 mins: Wall Balls, Rests, Box Jump (24 In.)s, and 7 more",224,true,false,1943,900000,224 reps,"","AMReps in 15 mins:
Wall Ball, 20 lbs, 45 secs
Rest, 15 secs
Box Jump (24 In.), 45 secs
Rest, 15 secs
Sumo Deadlift High-pull, 95 lbs, 45 secs
Rest, 15 secs
Sit-up, 45 secs
Rest, 15 secs
Kettlebell Swing, 53 lbs, 45 secs
Rest, 15 secs"
2015-10-11,Randy,456000,false,false,48850,456000,7 mins 36 secs,"","75 Power Snatches, 75 lbs"
